,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
17031010702,2242,5163,2509,2654,3811,3641,146,32.1,36.5,1431,18.3,622,24.8,843,14.3,485,37.6,16.6,45.8,37.7,35.9,35.9,22313.0,1924,1.0,0.0,2.0,0.0,0.0,32.0,6.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
17031020100,1702,3899,1657,2242,2833,2732,387,36.1,44.9,1307,26.3,674,24.4,627,14.6,375,20.3,15.7,64.0,24.1,34.7,0.0,0.0,1473,2.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
17031020200,2196,6634,3175,3459,4740,4602,851,39.1,65.7,3218,26.4,1189,31.5,1415,14.0,631,16.6,10.9,72.6,13.2,31.4,0.0,0.0,2064,1.0,0.0,0.0,0.0,2.0,26.0,4.0,0.0,8.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,35.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
17031020301,2215,5142,2581,2561,3743,3608,1351,42.4,51.6,2056,21.3,747,31.8,1115,22.1,777,11.0,7.0,82.0,12.2,29.4,0.0,0.0,1960,0.0,0.0,0.0,0.0,0.0,66.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17031020302,1888,4886,2270,2616,3849,3648,764,40.9,45.2,1808,18.1,605,26.2,875,24.4,817,17.1,9.3,73.6,21.2,35.2,0.0,0.0,1749,2.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
17031020400,1875,4518,2288,2230,3377,3302,492,38.6,42.2,1489,24.1,740,25.9,796,16.6,508,18.7,12.2,69.1,21.1,33.4,33.4,0.0,1751,2.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17031020500,2478,5794,2952,2842,4391,4250,781,32.0,44.2,2031,15.8,628,23.9,949,10.9,433,28.3,21.9,49.8,14.8,29.8,0.0,0.0,2089,2.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,124.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17031020601,2162,6330,3115,3215,4521,4325,682,33.7,59.1,2820,21.5,867,20.8,841,13.3,536,21.7,14.9,63.4,17.0,26.4,0.0,0.0,1908,2.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
17031020602,1541,4113,2279,1834,3004,2844,440,34.6,51.1,1638,18.9,503,28.1,751,13.5,360,31.1,12.4,56.5,23.6,33.3,0.0,0.0,1352,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
17031020701,700,1635,734,901,1276,1271,290,40.9,67.9,900,29.5,360,18.0,220,22.7,278,13.7,5.9,80.4,7.8,33.0,0.0,0.0,575,4.0,0.0,0.0,0.0,2.0,34.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
17031020702,2580,7833,4153,3680,5957,5475,987,32.7,52.6,3214,19.5,963,25.3,1250,6.0,296,19.8,8.2,72.0,10.3,29.0,0.0,25883.0,2223,4.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17031020801,2244,4760,2492,2268,3909,3744,751,39.8,44.0,1785,23.6,827,14.3,502,18.1,632,21.7,9.2,69.2,16.8,36.9,36.9,0.0,1956,4.0,0.0,3.0,0.0,0.0,22.0,7.0,0.0,6.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
17031020802,2441,7508,3916,3592,5744,5500,583,33.4,43.3,2644,18.4,910,26.7,1318,12.0,594,29.1,22.5,48.4,21.0,30.3,0.0,0.0,2078,0.0,0.0,0.0,0.0,2.0,12.0,4.0,2.0,7.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
