,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6037103300,1417,3293,1689,1604,2814,2747,594,49.3,55.5,1595,30.7,802,30.1,786,11.7,306,18.6,3.5,77.9,0.4,28.0,0.0,50726.0,1204,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,382,0
6037103400,2533,6658,3280,3378,5505,5262,901,42.3,49.6,2817,40.2,1971,19.6,962,6.8,334,12.7,5.6,81.7,1.3,28.3,0.0,0.0,2399,2,0,2,0,0,108,3,0,7,0,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,444,0
6037104103,855,4019,1915,2104,3035,2713,463,33.6,46.5,1503,22.8,561,9.2,227,3.5,87,6.6,21.4,71.9,1.6,30.3,0.0,25890.0,790,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
6037104105,1551,5839,2764,3075,4112,3759,522,29.9,43.5,1914,19.9,682,10.8,371,5.6,192,26.7,19.1,54.3,14.2,35.1,0.0,23602.0,1527,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,306,0
6037104108,1421,4917,2387,2530,3647,3374,475,31.5,40.8,1598,22.2,666,12.0,358,1.6,47,18.7,21.8,59.5,6.2,27.9,27.9,0.0,1358,0,0,0,0,0,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0
6037104124,1254,4304,2261,2043,3488,3213,619,39.1,50.1,1828,33.9,1006,23.6,700,6.7,200,11.2,13.3,75.5,9.6,34.5,0.0,0.0,1240,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,76,0
6037104201,921,4879,2475,2404,3480,3218,285,28.7,37.3,1373,20.5,578,3.4,95,0.4,10,23.1,16.5,60.4,5.7,30.9,0.0,0.0,897,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
6037104203,1095,4828,2447,2381,3275,3133,313,28.0,47.6,1717,17.7,479,4.5,122,0.5,14,22.4,15.3,62.3,8.8,30.0,30.0,0.0,1034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
6037104204,752,3372,1862,1510,2606,2464,302,35.5,38.1,1039,18.0,409,7.3,167,3.2,73,28.8,18.2,53.0,9.4,31.6,0.0,0.0,704,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,360,0
6037104310,928,5158,2499,2659,3796,3592,545,32.3,40.5,1613,10.8,353,3.9,128,0.6,19,21.5,24.8,53.7,2.9,27.4,27.4,0.0,858,0,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,64,0
6037104320,1241,5321,2749,2572,4203,3946,547,31.8,36.5,1592,17.2,616,5.0,179,2.0,72,20.5,18.3,61.2,9.0,27.9,0.0,0.0,1164,0,0,0,0,0,0,2,2,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,220,0
6037104401,736,3708,1909,1799,2566,2390,225,29.4,48.9,1366,11.8,251,5.1,109,0.8,17,23.7,12.7,63.6,7.9,27.5,27.5,0.0,705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,156,0
